,user,text,favorite_count,retweet_count,created_at
0,iamsrk,So lovely to see you all on this festive day!!! Now let’s spread the love… and may God’s blessings be upon all of us… Eid Mubarak. https://t.co/P7eYPmgSko,150566,12670,2023-04-22 10:40:07+00:00
1,iamsrk,As competitive as this IPL may be… but  when u see a friends son #ArjunTendulkar take the field it is a matter of such happiness and joy. Wish Arjun all the best and @sachin_rt what a proud moment!! Wow!,62654,6005,2023-04-17 08:17:02+00:00
2,iamsrk,Congratulations on Maybelline beta. Well dressed…well spoken…well done &amp; if I may take some credit well brought up! Love u my Lil Lady In Red!! https://t.co/tLnAQlXoTj,80197,7014,2023-04-12 11:31:57+00:00
3,iamsrk,JHOOME JO RINKUUUUU !!! My baby @rinkusingh235 And @NitishRana_27 &amp; @venkateshiyer you beauties!!! And remember Believe that’s all. Congratulations @KKRiders and @VenkyMysore take care of your heart sir! https://t.co/XBVq85FD09,194317,19459,2023-04-09 15:24:03+00:00
4,iamsrk,"Pehle Aap nahin… Pehle App!
Download #KnightClub app now. 
https://t.co/N6ynmskSqr https://t.co/jYyD9KQaIg",27054,4032,2023-03-28 07:34:47+00:00
5,iamsrk,Yeh tumse zyaada talented nikla….chota Pathaan https://t.co/gK0rumQC5a,78699,6882,2023-03-22 22:31:19+00:00
6,iamsrk,"Pathaan ki party ab @PrimeVideoIN par 🔥
#PathaanOnPrime in Hindi, Tamil and Telugu. Watch now!
@deepikapadukone | @TheJohnAbraham |  #SiddharthAnand | @yrf https://t.co/9opW30fBsG",49021,6547,2023-03-22 04:33:11+00:00
7,iamsrk,"What a tremendous effort by the whole team of Mrs Chatterjee vs Norway. My Rani shines in the central role as only a Queen can. Director Ashima, shows a human struggle with such sensitivity. Jim, @AnirbanSpeaketh, #Namit, #SaumyaMukherjee, #BalajiGauri all shine. A must watch. https://t.co/xKrphoY6SG",51734,5807,2023-03-16 15:26:30+00:00
8,iamsrk,"Big hug to @guneetm &amp; @EarthSpectrum for Elephant Whisperers. And @mmkeeravaani #ChandraBose ji @ssrajamouli @AlwaysRamCharan @tarak9999 thank u for showing us all, the way to do it. Both Oscars truly inspirational!!",72033,10122,2023-03-13 09:07:28+00:00
9,iamsrk,“ITS NOT THE BUSINESS….ITS STRICTLY PERSONAL”. Making ppl smile &amp; entertaining them is our business &amp; if we don’t take it personally….it will never fly. Thanks to all who gave Pathaan love &amp; all who worked on the film &amp; proved ki mehnat lagan aur bharosa abhi Zinda Hai.Jai Hind,69542,9259,2023-03-08 11:59:10+00:00
10,iamsrk,"At that stage…in that age…..raw….uncontrolled…craft still undefined….surrounded by the best cast &amp; crew in India and a director who I miss every day! Taught me that sometimes u lose the moment….but win everything else…I am sure somewhere, some world Sunil did too ! https://t.co/lpNlmrhjZN",93020,9392,2023-02-26 10:29:58+00:00
11,iamsrk,Huṁ paṇa tanē prēma karuṁ chuṁ Baa. https://t.co/nZLzYhafFl,36712,4370,2023-02-22 09:10:34+00:00
12,iamsrk,How lucky to have teachers and professors who can teach us and have fun with us also.  Educational Rockstars all of them!! https://t.co/o94F1cVcTV,75618,8923,2023-02-21 07:48:02+00:00
13,iamsrk,Bye everyone. Thanks for your time. May God bless you all. Have to start working out now….body bula rahi hai…hate it now when I don’t have the six pack! See you guys in the theatres. #Pathaan,23681,2444,2023-02-20 09:09:57+00:00
14,iamsrk,Thanks for reminding I should go now. Have a good life https://t.co/LW3atT880q,8963,1192,2023-02-20 09:07:29+00:00
15,iamsrk,I miss him he was a dear friend… https://t.co/ZKquVHcyLK,20941,2133,2023-02-20 09:05:31+00:00
16,iamsrk,Wow thank u all https://t.co/5om0Uomu9C,7573,1148,2023-02-20 09:04:43+00:00
17,iamsrk,Right now any number above 1000 ha ha ha #Pathaan https://t.co/aBGwPJapEn,13152,1833,2023-02-20 08:59:51+00:00
18,iamsrk,Love you right back my man https://t.co/nE1OM6QrHj,9872,1294,2023-02-20 08:58:41+00:00
19,iamsrk,That’s very kind of you all. #Pathaan has made many people happy and that makes me the happiest. https://t.co/k73zMZoAcC,9668,1485,2023-02-20 08:58:03+00:00
20,iamsrk,Could you please choose a better question??!! https://t.co/vxBGYtzNVp,9643,1230,2023-02-20 08:57:14+00:00
21,iamsrk,Next is Jawan and then Dunki. Post that I haven’t really started listening to scripts yet. Want to sit back and enjoy the release of these two films and then decide. https://t.co/oOqNgMD2Xz,13547,1793,2023-02-20 08:56:47+00:00
22,iamsrk,I have been told #Pathaan will release there soon https://t.co/N7g75ewdl4,11013,1174,2023-02-20 08:53:51+00:00
23,iamsrk,"Please mat karo yaar. Theek hai main hi maan jaata hoon I am 30 years old. There I have now told you the truth..and that’s why, even my next film is called Jawan https://t.co/rIH1lnsAWm",33636,2893,2023-02-20 08:51:15+00:00
24,iamsrk,Not yet but after I finish final shoot of Jawan and Dunki I will get back to it. https://t.co/Ijs0SF3gwo,8370,1210,2023-02-20 08:47:52+00:00
25,iamsrk,Gauri has the most simple heart and mind. She has just kept us all believing in the goodness of family and love https://t.co/nZV3CbGPxU,10191,1518,2023-02-20 08:47:11+00:00
26,iamsrk,Exaggerate…is this ok?? https://t.co/En8Rmf99FU,7167,1114,2023-02-20 08:45:38+00:00
27,iamsrk,Not just about #Pathaan 2 but every work of mine I will announce and say it to you guys personally. Please wait for me to tell you the truth not listen to stupid gossip! https://t.co/Ib4ng59IO5,8545,1437,2023-02-20 08:43:35+00:00
28,iamsrk,Yes I spend a lot of time doing nothing…it clears the mind for things that I need to do later. ‘ Jo kuch nah karte woh kamaal karte hain’ https://t.co/iwl4GrZbBq,8787,1460,2023-02-20 08:42:09+00:00
29,iamsrk,Live long I guess so that I can trouble my kids for years…. https://t.co/puz31ik8hF,5694,934,2023-02-20 08:41:06+00:00
30,iamsrk,Study as hard as you can. Do not get anxious. I used to carry a placard in the school march past…‘do your best and leave the rest’ just don’t stress. All the best https://t.co/qgLkvHUP85,10124,1576,2023-02-20 08:40:10+00:00
31,iamsrk,There’s a new restaurant called Karma. There’s no menu. You get what you deserve. https://t.co/p4t3wmOI1h,25721,3869,2023-02-20 08:37:02+00:00
32,iamsrk,I just sat at home and watched all films that I could to become an audience again and not be a movie maker. https://t.co/sYvmviqyHb,7134,1212,2023-02-20 08:34:54+00:00
33,iamsrk,Actually I don’t remember mine…but my two kids aryan and suhana always thought everyone in the world worked on tv because they saw all our friends on it. https://t.co/3y3hBjsNwD,7247,1138,2023-02-20 08:33:54+00:00
34,iamsrk,I loved my time there all of you are very sweet and hospitable https://t.co/3pvhp7JzjI,6239,1044,2023-02-20 08:32:08+00:00
35,iamsrk,Kaat le bhai maine bhi kaat liye hain… https://t.co/yVaMlRmcRN,6831,1047,2023-02-20 08:31:35+00:00
36,iamsrk,I respect them because I believe each one them completes me in my films…. https://t.co/EOcJctrjPr,12242,1515,2023-02-20 08:28:31+00:00
37,iamsrk,It ends too fast!! #Pathaan https://t.co/gjYQQr5TJk,7383,1162,2023-02-20 08:25:22+00:00
38,iamsrk,I get awkward seeing myself in screen…. https://t.co/PueFVTdfuv,6097,1067,2023-02-20 08:24:07+00:00
39,iamsrk,Mr Bachchan in Amar Akbar Anthony….‘Maine doh maara bhai par solid maara na…’ https://t.co/tsCfiDBV5s,7325,1207,2023-02-20 08:23:22+00:00
40,iamsrk,Papa ka dil rakh lo bhai… https://t.co/MM2WUNbybE,7228,942,2023-02-20 08:21:52+00:00
41,iamsrk,I have heard from someone that losing your head in a crisis is a good way to become the crisis!! So I try to keep the head screwed on…. https://t.co/N7RzxAmzgw,6009,1121,2023-02-20 08:21:13+00:00
42,iamsrk,All people are actually united..a good film just gives them a reason to show the unity in happiness… https://t.co/hL4JbpUdo0,7052,1274,2023-02-20 08:18:16+00:00
43,iamsrk,I will never retire from acting…I will have to be fired…and maybe even then I will come back hotter!! https://t.co/YHSQZ3ndub,10630,1780,2023-02-20 08:17:09+00:00
44,iamsrk,Actually I don’t have any cool cars….except Hyundai of course. All social media articles about luxury cars i allegedly have are bogus. https://t.co/yimFQ1kdUx,11226,1316,2023-02-20 08:16:10+00:00
45,iamsrk,Right now cleaning my son’s toys….and can’t find a crucial Lego piece…so King Ving I am not feeling like. https://t.co/leac24js8m,11059,1405,2023-02-20 08:14:13+00:00
46,iamsrk,Next time for sure https://t.co/24V52F32R1,6432,1047,2023-02-20 08:11:35+00:00
47,iamsrk,The body shots….I was very shy and very cold!! https://t.co/wlWYdsYvMK,6516,1144,2023-02-20 08:10:58+00:00
48,iamsrk,I think life is short…smile while you still have teeth. https://t.co/ux4ZjmkStC,7892,1397,2023-02-20 08:10:10+00:00
49,iamsrk,Your arm looks like my cheque book!!! https://t.co/u0MmmO268h,8561,1222,2023-02-20 08:09:10+00:00
50,iamsrk,The right Dimple is feeling left out….the left is feeling all right. https://t.co/q1WphVjfQo,6689,1170,2023-02-20 08:08:16+00:00
